question,expanded_correct_options,expanded_incorrect_options
"This city in Northern Norway is filled within things to do like Polar Nights half marathons and located in the middle of the Northern lights oval, which city is it?","['tromsø', 'existing correct option 2', 'experience midnight sun festivals', 'engage in dog sledding adventures', 'explore Arctic wildlife tours', 'participate in Sami cultural events']","['northern', 'nome', 'finnmark', 'vadsø', 'host summer solstice celebrations', 'offer glacier hiking excursions', 'organize winter sports championships', 'provide urban nightlife experiences', 'support coastal fishing activities', 'conduct historical museum tours']"
Where can you buy a binder?,"['office supply store', 'online retail platform', 'local bookstore offering school supplies', 'stationery shop with bulk purchasing options', 'discount store with seasonal school items', 'warehouse club specializing in office essentials']","['college dorm', 'back pack', 'class room', 'backpack', 'home improvement store with limited office supplies', 'convenience store with no stationery section', 'grocery store with minimal school supplies', 'furniture showroom lacking office materials', 'thrift shop with outdated supplies', 'electronics store focused on tech gadgets']"
James was delayed for a couple of hours because he had a connection.  Where might his connection be?,"['airport', 'train station', 'bus terminal', 'online meeting platform', 'conference venue', 'travel agency']","['company', 'wall', 'computer network', 'love', 'shopping mall', 'library', 'social media', 'gym', 'restaurant', 'parking lot']"
Where would you find isopropyl alcohol and safety glasses?,"['chemistry lab', 'laboratory supply room', 'research facility where chemical experiments occur', 'industrial workshop for material safety practices', ""educational institution's science classroom"", 'medical facility for sterilization and safety measures']","['pub', 'restaurants', 'in a park', 'supermarket', 'office break room with cleaning supplies', 'home improvement store for DIY projects', 'beauty salon for sanitation processes', 'kitchen for food preparation safety', 'hardware store for general cleaning products', 'art studio for paint thinning solutions']"
"The man tried to run, but he could not. He could that he could only move by doing what?","['walking', 'shuffling his feet', 'using a cane for support', 'pacing slowly back and forth', 'propelling himself with his arms', 'navigating by sidestepping']","['stand', 'go quickly', 'stand still', 'walk slowly', 'attempting to jog', 'sprinting in place', 'trying to leap forward', 'running backwards', 'moving in circles', 'trying to crawl']"
Collections of atoms called molecules make up everything you can hold in your what?,"['hands', 'grasp', 'fingers', 'palm', 'clutch', 'hold tightly']","['atom', 'anything', 'air', 'feet', 'molecules in energy', 'liquid in vapor', 'solid in gas', 'matter in space', 'particles in motion', 'substances in isolation']"
What is the opposite of foolhardy?,"['thoughtful', 'considerate', 'strategically cautious', 'deliberately reflective', 'pragmatically prudent', 'methodically discerning']","['discreet', 'calculated', 'cautious', 'careful', 'overly analytical', 'unnecessarily hesitant', 'risk-averse yet impulsive', 'inflexibly cautious', 'reactively prudent', 'shortsightedly careful']"
Where can you get in shape and drink at a juice bar?,"['gym', 'fitness center', 'health club with smoothie bar', 'community center with exercise classes', 'yoga studio offering fresh juices', 'athletic facility featuring wellness drinks']","['fridge', 'limejuice', 'square', 'refrigerator', 'exercise bike at home', 'outdoor running trail', 'water fountain in a park', 'sports equipment store', 'swimming pool without refreshments', ""personal trainer's office""]"
What is an way for people to meet with each other?,"['group together', 'organize events', 'participate in workshops', 'join community activities', 'attend networking sessions', 'engage in team sports']","['believe in god', 'pay bills', 'enjoy themselves', 'face each other', 'send emails to strangers', 'travel alone for leisure', 'read books in public', 'watch movies in silence', 'listen to music alone', 'browse social media passively']"
What do horses do to get energy?,"['eat grass', 'new correct option 1: graze on nutrient-rich pasture', 'new correct option 2: consume hay during winter months', 'new correct option 3: forage for wild plants in natural habitats', 'new correct option 4: digest grains to access stored sugars', 'new correct option 5: absorb vitamins from mineral blocks']","['play', 'kept in stables', 'dominated', 'drink coffee', 'plausible wrong option: nibble on decorative plants', 'contextual wrong option: run races for energy boost', 'mechanism failure option: rely on sunlight for direct energy', 'obvious wrong option: consume energy drinks', 'partial truth option: eat fruits occasionally but not regularly', 'edge case failure option: munch on bark in emergencies']"
Where would you see some people standing on a line near a road?,"['bus stop', 'newspaper stand', 'ride-sharing pickup zone', 'taxi stand', 'food truck queue', 'ticket booth line']","['water fountain', 'military base', 'apartment', 'fire house', 'grocery store entrance', 'train station platform', 'community center lobby', 'shopping mall atrium', 'school gymnasium', 'hospital waiting area']"
"The museum made an odd choice for the koala display, they put the stuffed creature in what area where you'd usually find a panda?","['bamboo grove', 'forest canopy', 'exhibit showcasing eucalyptus growth', 'interactive habitat simulation', 'environmental education zone', 'cultural significance display']","['jungle', 'australian outback', 'china', ""child's book"", 'tropical rainforest exhibit', 'sun bear habitat', 'wildlife photography gallery', 'habitat conservation area', 'fossil display section', 'historical artifact showcase']"
What does exercising immediately lead to?,"['exhaustion', 'increased heart rate', 'enhanced muscle fatigue', 'temporary oxygen debt', 'heightened metabolic demand', 'short-term lactic acid buildup']","['relaxation', 'energetic', 'become stronger', 'use energy', 'immediate weight loss', 'instant muscle growth', 'sustained energy boost', 'permanent fitness improvement', 'immediate cardiovascular stability', 'instantaneous mood elevation']"
"There are a lot of ways to relax, for this person it is simply opening one up and what?","['read book', 'listen to music', 'savor a cup of tea', 'engage in journaling', 'create a piece of art', 'practice deep breathing']","['more rice', 'own house', 'warm coat', 'light up', 'play chess competitively', 'watch a suspense thriller', 'write a business plan', 'attempt a complex puzzle', 'organize a community event', 'train for a marathon']"
"If a person does something to hurt someone else, they might do what?","['feel sorry', 'new correct option 1: seek forgiveness from the person harmed', 'new correct option 2: reflect on their actions to understand impact', 'new correct option 3: make amends through a thoughtful gesture', 'new correct option 4: change their behavior to avoid future harm', 'new correct option 5: discuss feelings with a trusted friend for clarity']","['trust god', 'cross street', 'ride a bike', 'lend money', 'plausible wrong option: apologize to a third party instead of the victim', 'contextual wrong option: ignore the situation and move on', 'mechanism failure option: buy a gift to distract from the hurt caused', 'obvious wrong option: shout to gain attention from others', 'plausible wrong option: blame external factors for their actions', 'contextual wrong option: change their location to avoid facing consequences']"
Where was the apple tree said to contain something forbidden?,"['garden of eden', 'paradise of knowledge', 'realm of temptation', 'sanctuary of choices', 'domain of divine testing', 'place of moral conflict']","['north carolina', 'washington state', 'nil', 'great outdoors', 'valley of lost dreams', 'forest of empty promises', 'land of forgotten myths', 'field of unrealized potential', 'mountain of false hopes', 'desert of empty desires']"
There is a lot of sugar in what food that fits in your hand?,"['candy bar', 'chocolate', 'cookie sandwich', 'miniature cupcake', 'frosted donut', 'sugar-coated fruit']","['cupboard', 'coffee', 'soda pop', 'savory snack', 'protein bar', 'fruit salad', 'diet beverage', 'baked potato', 'salsa dip', 'vegetable platter']"
Where do you wait in a reception area for a meeting?,"['office building', 'waiting lounge', 'business center', 'conference area', 'designated seating zone', 'client reception space']","['hall', 'motel', 'hotels', 'law firm', 'waiting room in a clinic', 'coffee shop near the office', 'empty corridor outside office', 'public library seating area', 'shared workspace kitchen', 'unattended entrance area']"
"She was bad at dancing, so what basic skill did the instructor teach her?","['rhythmic movement', 'body isolation techniques', 'timing synchronization exercises', 'weight transfer awareness drills', 'spatial awareness practices', 'musicality interpretation methods']","['euphoria', 'music', 'moving body', 'having fun', 'improvisational freedom techniques', 'partner communication skills', 'historical dance styles', 'visual performance analysis', 'energy projection methods', 'choreographic storytelling techniques']"
Billy's mother tripped over a stuffed animal.  She yelled at him not to leave his things where?,"['hall', 'near the entrance', 'in the walkway', 'under the couch', 'on the stairs', 'in the living room']","['toy store', 'bathroom', 'amusement park', 'fairgrounds', 'near the window', 'in the garage', 'in the playground', 'on the porch', 'at the bus stop', 'in the kitchen']"
"A student wants to hear what the professor is saying, what does he do?","['listen carefully', 'take detailed notes', 'adjust seating for better acoustics', 'ask clarifying questions during the lecture', 'eliminate distractions in the environment', 'engage in active listening techniques']","['gain experience', 'taking notes', 'complete test', 'focus', 'nod in agreement without understanding', 'wait for lecture recordings later', 'read unrelated material during class', 'discuss unrelated topics with peers', 'attempt to multitask with phone', 'daydream about unrelated subjects']"
How would someone feel after going for run?,"['get tired', 'experience muscle fatigue', 'release endorphins leading to euphoria', 'enhance cardiovascular endurance through exertion', 'improve mood by reducing stress hormones', 'increase heart rate contributing to alertness']","['working out', 'sore', 'satisfaction', 'falling down', 'feel energized without physical exertion', 'become immediately fit from one run', 'experience no change in mood after exercise', 'remain lethargic despite physical activity', 'develop muscle strength without training', 'feel refreshed without any hydration']"
"If a student was about to graduate, they would no longer be attending what?","['school', 'new classes', 'extracurricular activities', 'scheduled assessments', 'academic advising sessions', 'mandatory study halls']","['library', 'parties', 'kindergarten class', 'bar', 'community workshops', 'summer camps', 'online courses', 'volunteer programs', 'sports practices', 'study groups']"
What are adult people usually expected to do?,"['pay bills', 'new correct option 1: manage household budgets', 'new correct option 2: file annual tax returns', 'new correct option 3: maintain health insurance plans', 'new correct option 4: participate in community service', 'new correct option 5: secure employment opportunities']","['shake hands', 'own property', 'smoke', 'talk to each other', 'plausible wrong option: attend social gatherings regularly', 'contextual wrong option: buy luxury items frequently', 'mechanism failure option: invest in stocks without research', 'obvious wrong option: travel to space annually', 'plausible wrong option: host large parties every month', 'contextual wrong option: engage in political debates daily']"
Where would you dispose of a broken icebox?,"['junk yard', 'recycling facility', 'certified e-waste center', 'local waste management site', 'bulk waste collection event', 'municipal hazardous waste drop-off']","['antique store', 'in the graveyard', 'kitchen', 'ice', 'donation center for appliances', 'residential garage sale', 'construction site for repurposing', 'local farmers market', 'community garden compost', 'neighborhood cleanup event']"
"Mary was a bad girl, but she was always open about that.  People liked her because she was what?","['honest', 'open-minded', 'unapologetic in her flaws', 'transparent about her intentions', 'candid about her shortcomings', 'forthright in her actions']","['excellent', 'fun', 'worthy', 'choice', 'charismatic in her deceit', 'confident in her mischief', 'appealing despite her flaws', 'likable through her charm', 'endearing in her rebellion', 'relatable through her mistakes']"
Where may I view sharks in a clear tunnel?,"['sea world', 'aquarium exhibit', 'marine research facility', 'underwater observatory', 'interactive oceanarium', 'shark diving experience']","['south pacific', 'pacific ocean', 'indian ocean', 'gulf of mexico', 'coral reef exploration', 'deep sea fishing trip', 'tropical beach snorkeling', 'shark conservation project', 'oceanographic research vessel', 'marine biology classroom']"
Dan said that getting in line was the best choice because it would lead to what?,"['less confusion', 'being ordered', 'streamlined access to services', 'efficient use of time for everyone', 'clear expectations for wait duration', 'increased likelihood of receiving assistance']","['boredom', 'standing in line', 'have to wait for', 'chaotic interactions with others', 'ineffective queue management', 'miscommunication about service availability', 'unpredictable waiting times', 'unorganized gathering of individuals', 'disruption of personal schedules', 'inability to engage with staff members']"
Where could you find a theater which only has unpaid actors?,"['school', 'community center', 'local charity event', 'university drama group', 'youth theater program', 'open mic night venue']","['shopping mall', 'hospitals', 'populated area', 'military base', 'professional film studio', 'commercial theater company', 'luxury cruise ship', 'amusement park stage', 'government-funded arts center', 'corporate training facility']"
"The competition was to see who would be the last one to drop the object, the hard part was you had to have your arm extended straight out while what the object?","['holding', 'maintaining', 'sustaining', 'gripping tightly', 'supporting steadily', 'balancing carefully']","['lift up', 'pick up', 'lifting', 'hold onto', 'pushing forward', 'throwing upwards', 'resting against', 'folding back', 'releasing quickly', 'shaking vigorously']"
Why would someone confess to committing murder?,"['guilty conscience', 'new correct option 1: seeking redemption through honesty', 'new correct option 2: desire to alleviate emotional burden of secrecy', 'new correct option 3: aiming to protect an innocent person from blame', 'new correct option 4: hoping for leniency in sentencing through transparency', 'new correct option 5: feeling compelled by moral obligation to disclose truth']","['fear', 'go free', 'problems', 'find god', 'plausible wrong option 1: believing confession will lead to public sympathy', 'contextual wrong option 1: thinking confession will restore family relationships', 'mechanism failure option 1: assuming confession will erase legal consequences', 'obvious wrong option 1: expecting confession will result in immediate release', 'plausible wrong option 2: hoping confession will attract media attention', 'contextual wrong option 2: believing confession will validate personal identity']"
Which long saga will we be watching on tonight's program?,"['opera', 'performing a narrative ballet', 'staging a dramatic reenactment', 'creating an episodic miniseries', 'producing a serialized radio play', 'developing a multi-part documentary']","['concert', 'theater', 'take class', 'television', 'hosting a live podcast session', 'screening a short film festival', 'broadcasting a news segment', 'conducting a panel discussion', 'curating an art exhibit', 'organizing a trivia night']"
"She wanted to make a quilt of velvet, where should she look?","['fabric store', 'online fabric supplier', 'custom upholstery shop', 'local artisan market', 'textile manufacturing outlet', 'home decor specialty store']","['grandma', 'clothing', 'jewelry store', 'clothes', 'discount warehouse for electronics', 'seasonal craft fair', 'vintage costume shop', 'general merchandise store', 'home improvement center', 'furniture showroom']"
What is a convenient place for a bus station?,"['city centre', 'near major shopping districts', 'adjacent to train terminals', 'close to popular event venues', 'within walking distance of residential areas', 'along frequently traveled commuter routes']","['maps', 'street', 'catch bus', 'school', 'near a rarely used highway', 'in a low foot traffic area', 'next to a closed business', 'on a one-way street with no exits', 'in a location with limited public transport access', 'within a residential block with no sidewalks']"
The crowd wasn't that big.  It can better be described as what?,"['small group', 'intimate gathering', 'limited assembly', 'modest turnout', 'restricted audience', 'underwhelming crowd']","['field', 'alone', 'solitude', 'solitary', 'vast congregation', 'overwhelming presence', 'large assembly', 'significant turnout', 'crowded venue', 'mass gathering']"
"Where would you put silverware once they've dried, but you're not ready to use them.","['cupboard', 'drawer', 'storage container', 'sealed box', 'kitchen rack', 'designated tray']","['table', 'restaurant', 'kitchen', 'sink', 'countertop', 'dishwasher', 'serving platter', 'oven', 'pantry', 'shelf']"
After bringing eggs home from the store in what are they held?,"['egg carton', 'egg carton', 'insulated container to maintain temperature', 'protective wrap to prevent breakage', 'reusable grocery bag for transport', 'sealed plastic container for freshness']","['chicken coop', 'supermarket', 'box', 'henhouse', 'basket for carrying items', 'cooler for perishable goods', 'shelf in the refrigerator', 'plastic bag for convenience', 'cardboard box for storage', 'basket for fruit collection']"
Where would you put an account book if you are leaving and do not need to bring it with you?,"['desk drawer', 'filing cabinet', 'secure storage box', 'archival shelf for records', 'designated office archive', 'locked drawer for sensitive documents']","['kept at accountant', 'purse', 'bank', 'keeping track of expenses', 'office break room for casual access', 'on a public desk for easy retrieval', 'in a car for convenience', 'shared workspace for collaborative use', 'in a digital format on a public server', 'at home for personal use']"
If clothes have developed a smell and can't be washed what should you do with them?,"['air out', 'newspaper stuffing', 'freeze temporarily', 'use fabric freshener', 'apply baking soda', 'hang in sunlight']","['hang in closet', 'sniff', 'get dirty', 'become soiled', 'store in airtight bag', 'dry clean immediately', 'place in dryer', 'spray with perfume', 'leave in car', 'wear until smell fades']"
What do you feel from playing football?,"['exhilaration', 'intense teamwork satisfaction', 'strategic thinking enhancement', 'physical endurance improvement', 'emotional resilience building', 'competitive spirit elevation']","['pain', 'death', 'getting hurt', 'get hurt', 'temporary fatigue without recovery', 'disinterest in teamwork', 'distraction from personal goals', 'confusion about rules', 'physical decline from overexertion', 'lack of motivation to play']"
"The wood became fossilized, what did the paleontologists call it when they found it?","['petrify', 'permineralization', 'mineralized wood', 'biomineralization process', 'silicified remains', 'carbonization of wood']","['sanded', 'composted', 'warp', 'hardened', 'decomposed remnants', 'oxidized material', 'dried out specimen', 'treated timber', 'compressed cellulose', 'preserved organic matter']"
What is a place that someone can go buy a teddy bear?,"['toy store', 'online marketplace', 'gift shop specializing in plush toys', 'department store with a toy section', ""specialty boutique for children's items"", 'craft fair featuring handmade stuffed animals']","['thrift store', 'bed', 'shelf', 'home', 'furniture store with no toy section', 'grocery store with limited toy aisle', 'pet shop selling animal toys only', ""clothing store without children's items"", 'electronics store focused on gadgets', 'bookstore with no toy offerings']"
What might the inability to learn cause?,"['distress', 'new skill avoidance', 'emotional withdrawal', 'social isolation', 'decreased motivation', 'cognitive dissonance']","['intelligence', 'education', 'effectiveness', 'a stupid', 'temporary confusion', 'immediate success', 'enhanced creativity', 'instant memorization', 'improved social skills', 'heightened awareness']"
Who does the government help with schools?,"['school children', 'students receiving special education services', 'teachers through professional development programs', 'low-income families accessing free lunch programs', 'districts acquiring funding for infrastructure improvements', 'communities implementing after-school enrichment activities']","['parents', 'get money', 'require to pay taxes', 'take money', 'corporations benefiting from tax breaks', 'teachers receiving bonuses for attendance', 'students getting free transportation to private schools', 'administrators using funds for unrelated projects', 'local businesses profiting from school events', 'non-profit organizations promoting unrelated causes']"
"A small dog is lost in New England, where would it likely be found?","['new hampshire', 'searching nearby neighborhoods', 'exploring local hiking trails', 'following familiar scents in woods', 'wandering around community parks', 'visiting nearby animal shelters']","['own home', 'old england', 'coffin', 'denmark', 'found in a different country', 'hiding in a busy urban center', 'lost in a remote desert', 'trapped in a basement', 'wandering through a crowded stadium', 'chasing wildlife in a national park']"
What do you do to hold loose papers together?,"['bound', 'clamp', 'clip with a binder', 'staple at corners', 'secure with a rubber band', 'fasten using a paper clip']","['tighten', 'packaged', 'faithful', 'compact', 'glue pages together', 'fold into a booklet', 'weigh down with a stone', 'scatter for easy access', 'stack loosely on a table', 'suspend from a string']"
"People were talking on the corner, who were they talking with?","['with people', 'with acquaintances', 'with local vendors', 'with passing pedestrians', 'with friends from nearby', 'with strangers they met']","['god', 'mix', 'have friends', 'see people', 'with imaginary figures', 'with people they ignored', 'with voices in their head', 'with distant relatives', 'with someone who left', 'with people they never met']"
"He finally found someone as ugly as him, knowing he wouldn't be the one sticking out was what?","['pleasing', 'finding comfort in shared perception', 'achieving a sense of normalcy', 'experiencing a moment of relief', 'discovering mutual acceptance', 'realizing collective unattractiveness']","['gorgeous', 'handsome', 'glorious', 'pretty beautiful', 'feeling superior in comparison', 'attracting attention for uniqueness', 'enhancing social standing through contrast', 'gaining admiration for unconventional looks', 'achieving validation through popularity', 'fostering envy among peers']"
"The band enjoyed their success and fans, they loved to what at the start of every concert?","['hear crowd go mad', 'feel energy surge through stage', 'see fans singing along passionately', 'witness excitement build before show', ""experience audience's collective joy"", 'sense anticipation in the atmosphere']","['working hard', 'clap', 'reproduce', 'celebrate', 'play instruments quietly', 'wait for a sound check', 'discuss setlist with crew', 'perform a solo before audience', 'engage in backstage conversations', 'take a break before show']"
During the brainstorming session there was a lot of talking and what?,"['exchange of ideas', 'collaboration on solutions', 'negotiation of perspectives', 'synthesis of concepts', 'evaluation of alternatives', 'articulation of visions']","['obtaining information', 'sharing information', 'conversation', 'gathering of information', 'passive listening', 'repeating popular opinions', 'distributing handouts', 'summarizing previous discussions', 'documenting individual thoughts', 'focusing on unrelated topics']"
Where could you find multiple ruler that are owned by different people?,"['office', 'classroom', 'shared workspace', 'design studio', 'art supply store', 'construction site']","['measure distance', 'england', 'drawer', 'desk', 'personal collection', 'historical museum', 'scientific laboratory', 'home office', 'school locker', 'art gallery']"
Why is grooming often recommended to greasy teens?,"['cleanliness', 'removal of excess oil', 'prevention of skin issues', 'enhancement of social confidence', 'promotion of healthy habits', 'improvement of personal hygiene']","['neatness', 'selfishness', 'mistakes', 'satisfaction', 'increased popularity among peers', 'temporary distraction from problems', 'enhanced athletic performance', 'reduction of academic pressure', 'immediate emotional relief', 'improvement in artistic skills']"
"We want to try some new barbecue sauces, where should we buy some?","['retail store', 'online specialty market', ""local farmer's market"", 'food festival vendor', 'gourmet grocery section', 'barbecue competition stall']","['detroit', 'australia', 'michigan park', 'cafe', 'supermarket bakery', 'fast food drive-thru', 'wholesale electronics store', 'beachside picnic area', 'home improvement store', 'local gym']"
Where can you see a mammoth in NYC?,"['museum of natural history', 'exhibit featuring prehistoric life', 'interactive display on ancient fauna', 'educational program about ice age mammals', 'virtual reality experience of mammoth habitats', 'specialized lecture series on extinct species']","['refrigerator', 'museum exhibit', 'prehistoric times', 'forest', 'theatrical performance about evolution', 'art installation depicting mammoth imagery', 'local zoo featuring modern wildlife', 'historical reenactment of ancient cultures', 'documentary screening on climate change', 'science fair project on fossils']"
Where could you put some olives to prevent them from getting nearby food wet?,"['jar', 'new sealed container', 'vacuum-sealed bag', 'drying rack with airflow', 'insulated food box', 'ceramic bowl with lid']","['eaten', 'glassess', 'pizza', 'refrigerator', 'open bowl on counter', 'plastic wrap on plate', 'paper towel under food', 'basket with holes', 'cardboard box', 'tin can without lid']"
"When having food at a formal place, what do you usually do?","['sit', 'arrange utensils methodically', 'observe table etiquette closely', 'engage in polite conversation intentionally', ""wait for the host's signal to begin"", 'select dishes based on menu descriptions']","['being sociable', 'talk', 'drinking', 'medium', 'serve food before seated', 'interrupt others while eating', 'eat without using utensils', 'disregard the dress code', 'focus solely on personal preferences', 'start eating without waiting']"
What body of water is typically shallow water?,"['pond', 'wetland', 'marshland', 'temporary stream', 'floodplain', 'intertidal zone']","['lake', 'aquariums', 'swimming pool', 'childrens pools', 'deep river bend', 'ocean inlet', 'artificial lagoon', 'glacial lake', 'estuary', 'reservoir']"
How do you indicate that you agree wtih someone?,"['nodding', 'expressing verbal affirmations', 'maintaining eye contact with a smile', 'mirroring their body language subtly', 'offering supportive gestures like thumbs up', 'echoing their sentiments in conversation']","['like more', 'by wearing rings', 'concordance', 'shake hands', 'raising eyebrows in confusion', 'turning away while they speak', 'interrupting with a counterpoint', 'fidgeting with your phone', 'changing the subject abruptly', 'looking disinterested or bored']"
James wanted to stop competing.  What might he have been feeling?,"['pressure', 'overwhelmed by expectations', 'desire for personal fulfillment', 'exhausted from constant striving', 'disillusioned with competitive outcomes', 'yearning for a balanced lifestyle']","['death', 'trying harder', 'quitting', 'winning or losing', 'motivation to improve skills', 'satisfaction from past victories', 'guilt over letting others down', 'excitement for future challenges', 'need for external validation', 'confidence in abilities']"
"Always wash your hands before eating, you don't want to get germs onto food and inside your what?","['mouth', 'throat', 'digestive system', 'respiratory tract', 'immune response', ""body's microbiome""]","['water', 'doctor', 'spread disease', 'ear', 'skin surface', 'food storage', 'immune system boosters', 'kitchen appliances', 'hygiene products', 'saliva']"
"The explorers found a central passage, much to their delight it led straight to the ancient buried what?","['tomb', 'mausoleum', 'sarcophagus', 'burial chamber', 'sacred site', 'ritual crypt']","['public building', 'arena', 'large building', 'treasure', 'cultural landmark', 'historical monument', 'relic repository', 'ceremonial hall', 'archaeological site', 'civilization ruins']"
Along what feature will you find a rosebush?,"['hedgerow', 'garden border', 'flowering trellis', 'landscape design layout', 'perennial flower bed', 'aromatic herb patch']","['park', 'in the ground', 'temperate climate', 'botanical gardens', 'urban rooftop', 'wildflower meadow', 'paved walkway', 'indoor potting area', 'seasonal display', 'commercial nursery']"
"A man was driving himself to the airport, where did he put his luggage?","['trunk', 'backseat', 'secured on roof rack', 'placed in passenger seat', 'stored in cargo area', 'loaded in a hatchback compartment']","['closet', 'at hotel', 'sidewalk', 'bus stop', 'left in driveway', 'stored in a nearby park', 'placed in a taxi', ""put in a friend's car"", 'left in a different city', 'tied to the roof of a bus']"
What is someone likely to feel after receiving a gift that is not common?,"['special', 'appreciative', 'validated through thoughtful selection', ""connected to the giver's understanding"", 'excited about the uniqueness', 'motivated to reciprocate the gesture']","['personal', 'offended', 'unique', 'rare', 'distracted by its unfamiliarity', 'uninterested due to lack of utility', ""confused about the giver's intent"", 'overwhelmed by the pressure to respond', 'disappointed in its impracticality', 'indifferent because of its unconventional nature']"
"The banjo finds its history in the Caribbean, but it's probably most famous where?","['united states', 'music shop', 'music store', 'jug band', 'among nice people', 'folk festivals showcasing diverse genres', 'cultural events emphasizing traditional instruments', 'regional music scenes blending old and new styles', 'community gatherings celebrating local heritage']","['music shop', 'music store', 'jug band', 'among nice people', 'historical reenactment groups performing Caribbean music', 'academic conferences discussing world music', 'music theory classes focused on string instruments', 'local bars featuring international music nights', 'travel agencies promoting musical vacations', 'online platforms for music lessons']"
"The print was extremely small, as he was reading letter after letter he began to suffer eye what?","['strain', 'fatigue', 'discomfort', 'tension', 'irritation', 'exhaustion']","['though', 'happiness', 'realization', 'understanding', 'blurred vision', 'satisfaction', 'clarity loss', 'contentment', 'cognitive overload', 'distraction']"
"If I am forgiving, what hidden force may be activated in my life?","['good karma', 'new opportunities for connection', 'increased emotional resilience', 'enhanced personal growth pathways', 'strengthened social bonds', 'unlocked potential for empathy']","['nice feeling', 'respect', 'new freedom', 'good heart', 'temporary relief from guilt', 'immediate social approval', 'momentary happiness boost', 'superficial relationship improvement', 'unearned trust from others', 'false sense of security']"
"When playing baseball they keep track of mistakes, this stat is called what?","['errors', 'new correct option 1: defensive lapses', 'new correct option 2: fielding blunders', 'new correct option 3: misplays recorded', 'new correct option 4: unearned runs accounted', 'new correct option 5: failed attempts tracked']","['happiness', 'sore muscles', 'injury', 'perfection', 'plausible wrong option: batting averages', 'contextual wrong option: team morale', 'mechanism failure option: scoring discrepancies', 'obvious wrong option: home runs missed', 'plausible wrong option: pitching errors', 'contextual wrong option: player fatigue']"
What does someone need to do to begin creating art?,"['relax', 'engage in free experimentation', 'explore diverse materials for inspiration', 'immerse oneself in various artistic styles', 'establish a routine for consistent practice', 'collaborate with other artists for new perspectives']","['controversy', 'pleasure', 'frustration', 'needs theater', 'focusing solely on technical skill', 'waiting for the perfect idea to strike', 'restricting oneself to one medium only', 'emphasizing popularity over personal expression', 'relying on art history for all inspiration', 'mimicking famous artists without personal input']"
"If I have a reception with many people attending, where should I be sure to hold it?","['large room', 'open-air venue', 'multi-purpose hall', 'community center space', 'exhibition center area', 'auditorium with seating']","['grand casino', 'restaurant', 'country club', 'lobby', 'small office suite', 'private home setting', 'art gallery with limited space', 'hotel room with capacity constraints', 'conference room with fixed seating', 'outdoor park with unpredictable weather']"
What should you do if your pens aren't work?,"['ink in', 'replace ink cartridges', 'perform a nib cleaning', 'check for air bubbles', 'test on different surfaces', 'rotate pen to redistribute ink']","['caps', 'take notes', 'use a different pen brand', 'apply heat to the pen', 'shake pen vigorously', 'write with excessive pressure', 'use a pencil instead', 'store pen horizontally', 'fill pen with water', 'write in a dark room']"
Who designs a building?,"['architect', 'interior designer', 'landscape architect', 'urban planner', 'structural engineer', 'environmental consultant']","['builders', 'driver', 'fall down', 'tradesmen', 'construction manager', 'electrician', 'plumber', 'real estate agent', 'site supervisor', 'general contractor']"
Where is a bay always found?,"['coastal area', 'delta region where rivers meet oceans', 'estuary formed by tidal influences', 'landmass curvature creating sheltered waters', 'geological formation resulting from erosion', 'natural inlet providing calm anchorage']","['lake', 'manhattan', 'shoreline', 'los angeles', 'river mouth lacking ocean access', 'mountain valley with stagnant water', 'artificial reservoir built away from coast', 'floodplain situated inland from the coast', 'island interior with no tidal effects', 'canyon carved away from ocean influence']"
What past time are people engaged in when they are traveling along liquid?,"['sail boats', 'navigate kayaks', 'row canoes', 'drift on rafts', 'pilot jet skis', 'cruise on yachts']","['question authority', 'high fives', 'share things', 'learn from each other', 'conduct workshops', 'host trivia nights', 'explore caves', 'build sandcastles', 'organize picnics', 'practice yoga']"
Where can you find a movie theater along with other stores in one placE?,"['shopping mall', 'entertainment complex', 'retail park with diverse outlets', 'lifestyle center featuring various shops', 'mixed-use development with leisure amenities', 'multi-story plaza housing diverse retailers']","['downtown area', 'urban area', 'new york city', 'military base', 'community center with recreational activities', 'business district with office spaces', 'neighborhood block with local shops', 'historic site with limited commercial offerings', 'sports arena hosting occasional events', 'library with educational resources']"
"The man on the street corner was showing off a wristwatch, he was trying to what it for drug money?","['hock', 'sell', 'trade', 'offer', 'barter', 'liquidate']","['jewelry store', 'case', 'watch store', 'pawn', 'donate', 'store', 'buy', 'display', 'showcase', 'present']"
"The man needed to buy flooring, where was he looking for it?","['home depot', 'specialty flooring store', 'online flooring marketplace', 'local construction supply outlet', 'home improvement warehouse', 'hardwood flooring distributor']","['walmart', 'loft', 'house', 'kitchen', 'furniture showroom', 'garden center', 'hardware store', 'carpet cleaning service', 'paint supply shop', 'interior design studio']"
"Bill was awaking, what was happening to him physiologically?","['eyes opening', 'increased heart rate', 'muscle tension increasing', 'cortisol levels rising', 'brain activity shifting to alertness', 'pupil dilation occurring']","['tiredness', 'grogginess', 'discomfort', 'getting out of bed', 'decreased metabolic rate', 'sleep cycle deepening', 'excessive yawning starting', 'body temperature dropping', 'neurotransmitter levels stabilizing', 'blood pressure lowering']"
